Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,26890054382.385,29265058689.4061,29678901146.3632,33011757107.8906,34780330056.488,39589169629.9389,41143038133.026,49943751386.6576,57116893447.1231,57360414055.1093,64675178730.6937,68297470348.5577,70158264544.684,71176481723.2911,72785293847.6716,74711922906.3738,75600418108.8303
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Albania,ALB,10601015359.5691,11614410061.5713,12578739034.3302,14254520575.9467,15551681869.046,13853440683.9803,15076619668.2046,17020117105.4776,18202371302.719,19711950862.0733,20606188274.839,21745429719.722,22944617954.3711,24212634883.0314,25641824164.3,27176041050.5387,29214255387.8492,30194186045.6543,31313465847.3792,32110520731.1146,32565604774.3405,32891917846.3074,33475568105.9092,34218299363.5357,35352629377.8478,36696816738.7391,38171793796.7109
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Algeria,DZA,226598987259.139,221840406809.359,219843850796.084,228197905672.121,237554016313.132,240167110348.4,252415641643.901,260492946093.471,270391678045.025,278503428386.375,294099620376.011,315274793043.086,328831609143.937,348232674083.429,354152629542.85,366193818947.304,374982470602.041,380982190131.674,394697548976.413,406143777896.73,419952666345.218,431711341002.884,448116371960.994,464696677723.552,479566971410.704,485801342039.043,491145156801.472
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Angola,AGO,65163320249.051,49534929134.6161,50198381863.7314,57728139157.7801,65547051778.05,70315126122.1511,73613711665.7012,75219587217.0244,77517262957.102,80777637917.8797,91816456696.4398,94561631036.5231,104918835770.191,120686998750.232,134623551003.143,153484335057.563,170622608225.526,172087766086.568,179666395220.529,185904369961.674,201784670079.693,211782181648.306,221995647525.415,224090335322.844,218308693423.998,217987314775.762,213619656135.168
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Antigua and Barbuda,ATG,999161460.172933,1051915973.37331,1122149321.88767,1073228241.63905,1144109168.5706,1206710342.88236,1263801318.69785,1310658242.74168,1391964025.79995,1328657453.56947,1342308637.88184,1423874608.69703,1505989864.77679,1603485108.26482,1807258377.52402,1975611420.14299,1975328104.58546,1739025583.76277,1602675635.24333,1571285427.86007,1624282782.9669,1614522851.10782,1675805740.78459,1739910222.13625,1835543677.67486,1893259104.10693,2023584260.56643
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Argentina,ARG,543487677674.491,588091597641.289,622413803601.144,604704826243.565,638124986359.867,689883602459.331,716445355021.616,692190405307.751,686729030353.619,656452248351.554,584935157747.954,636626116266.938,694110738086.543,755551060091.098,816351398559.736,889885482455.565,925990210832.673,871185248000,959396223037.209,1016997908810.97,1006559234253.78,1030770242883.07,1004870951838,1032315583600.75,1010840035079.44,1039330591568.54,1012127189427.81
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Armenia,ARM,9418820611.43951,8589964511.29035,9053822833.63031,9678536466.07655,10246221416.4922,10586506596.0205,11359321576.2289,11734179188.3105,12426495760.7871,13619439353.7327,15417205348.1442,17575614097.1234,19421053577.114,22120580024.1606,25040496587.2317,28471044620.0698,30435546698.9769,26144134614.2082,26719305575.777,27975112937.4842,29989321069.253,30978968664.5384,32094211536.6445,33121226305.4854,33187468758.0387,35676528915.4363,37531708418.9153
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Aruba,ABW,2631272708.76339,2823558022.0961,3055199978.5086,3133020318.66048,3170171303.01453,3393569279.62489,3461168699.56895,3504019425.42137,3770906155.29224,3658862852.58389,3539084620.13974,3609000909.43814,3894529306.87018,3941822498.1459,3983235582.05039,4054942823.50401,4051264664.08933,3625081808.90544,3491496478.93603,3611815359.20855,3562338436.47966,3711893680.18288,3723029361.22343,3935242067.42296,4017882134.53394,4098239741.2414,..
