Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,3264.82538693532,3598.81537079636,3921.62053187562,4471.60804369013,4908.9393541816,4400.31899439099,4819.07466708155,5474.85767895861,5892.5905480007,6441.44983374249,6753.89076890572,7154.00554534585,7580.1388645001,8040.09277909266,8568.56188534383,9150.12979741823,9912.16252759265,10313.9163385974,10749.4816712201,11052.7936097627,11227.9663309799,11361.2686043509,11586.833878569,11878.4544479371,12291.8594923641,12770.9642910053,13317.0923133291
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,8383.75834759821,8027.36590053152,7792.07444632757,7935.16892440132,8116.94962683786,8074.74941476612,8360.14081671597,8506.33486338754,8710.44407445834,8855.00892711824,9232.41578434391,9771.67243203474,10058.4262267443,10504.845111314,10527.4086932906,10717.770836591,10796.8888361988,10782.3473835022,10970.6924199942,11078.2282434402,11233.5170375144,11319.0826671926,11512.6904716992,11696.9503570415,11826.1513798046,11737.4012353821,11630.6794086748
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,5148.25485731592,3788.5095556555,3717.36522903903,4139.64076955341,4551.6503810052,4728.1569239722,4792.68416271916,4740.66923573176,4727.96631394756,4766.83673589953,5240.8394329332,5218.20771212651,5593.24362419081,6210.2221878264,6681.10102767941,7341.86519904765,7864.37457862612,7643.49578596548,7692.43428623311,7675.44608452759,8036.69240208792,8140.52597328045,8239.8306720725,8036.41089824639,7568.99816818809,7310.89658895511,6933.49993413352
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,15500.7285277918,15992.1549078449,16698.4021352014,15628.3236492173,16303.4252247292,16828.3479002379,17260.5651360692,17551.7347770533,18313.6293472963,17207.913971526,17143.5878040543,17953.0532800876,18743.5730615554,19683.8416472075,21849.2217557157,23511.066657261,23131.9308685091,20048.022131616,18206.0165312204,17605.4389676199,17966.3387012831,17643.1302710941,18104.6837879971,18594.5455550999,19419.6326457349,19840.2840357027,21017.2644997656
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,16209.3259772191,17312.0345746755,18092.0208138835,17362.5218025698,18104.6978094959,19347.5370400793,19866.2450529656,18981.1683827308,18625.2835537811,17610.7553863202,15523.0387763102,16714.6701331846,18032.6114274365,19426.4401434847,20777.6527103251,22424.1177287545,23103.4565215341,21519.8936160174,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22747.2416575831
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,2735.78653877911,2554.17216716616,2757.23180984117,3008.23332068624,3234.06962110572,3378.94443074421,3654.05296834871,3798.67375035142,4048.24990407114,4464.38583116475,5081.51855787396,5823.716092618,6472.14199852835,7419.87119017403,8464.48572583781,9708.41539720344,10467.5298136022,9052.38354922249,9286.19732701296,9725.27822960819,10397.654656654,10691.2767474722,11019.838784895,11321.3325403745,11303.0678498177,12115.1392902637,12715.1089539751
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,38559.0959666381,38948.3139816001,39830.5192426647,39004.7846056033,38097.9834759171,39714.0933835563,39655.920022559,39367.0238450198,41499.6385368811,39388.3526308389,37256.6597201842,37200.0588504797,39440.6678569856,39407.1909679879,39504.4687300445,40058.3133138128,39968.2786852008,35731.9896000615,34343.1513198843,35392.605185777,34732.4958463381,35980.1645924769,35875.6298298588,37715.9266182631,38314.8060318881,38897.122666275,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,30259.4180685172,31173.4737342427,32073.0266710913,32902.7697347336,33724.9720103964,34653.1912530842,35876.2233714323,37219.6411141269,38217.4494444102,38474.1533319445,39533.2234635712,40262.9140616873,41472.5387935104,42222.2727240053,42738.4657866435,44072.8840257292,44743.6598944809,44649.1607704338,44914.9812132027,45389.1701737895,46350.9199520719,46744.6325424082,47232.875386831,47569.2946015026,48116.0310826944,48398.5497014956,49029.1057110348
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,38774.4902606316,38658.6497800224,39435.210024783,40425.3937190819,41319.3749974645,42136.6622802741,43597.8900710725,45060.6187543953,46469.8610601036,46878.9162398602,47419.2784117541,47633.1140009916,48633.2718157639,49387.0278641202,50840.6944621561,52565.0739687956,53166.0542015286,51030.7246778186,51843.4283275453,53179.1474647432,53297.4447850919,52997.7538166712,52932.9001116518,52873.8586545571,53345.7415259818,54172.9867888254,55258.37103291
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,5690.18093853944,4309.92144443956,3414.51121335324,2976.99520728559,2985.33716312759,3128.16411817226,3408.47541070785,3628.71685721551,3998.52046712709,4360.4594344817,4736.56437195813,5180.68648162758,5610.76313920755,7106.59790723797,9453.94185977629,11684.1915569851,12672.3762414489,13565.8550863486,14082.2381492462,13913.8366762498,14027.4687658751,14651.6939594987,14867.9437541074,14852.6117173183,14232.1926093441,14121.4069355591,14209.5931685619
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,33855.8075635077,33328.9640260064,33782.2453946087,34716.5408499341,35698.5068888817,37703.8839647825,35604.7831044116,39477.2436168122,40565.9307629516,41001.7482174028,41420.9948734663,40183.297392977,39804.5230752492,40401.5329308799,40644.6448351767,40456.0088453665,38792.4471957188,36543.0835082273,36547.4280141566,36296.393572118,37005.3775244786,35331.165707622,35801.9181551358,36023.5955240709,35701.2303494393,35917.7570326171,36539.6618746659
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,43430.2713411364,47819.4239458923,46538.7747226765,47157.2167609521,47825.8742542915,47957.0685646187,48717.1820404672,48988.570176162,49406.2910308378,48245.775482163,47311.7455106711,47476.9833537752,47661.3940699161,47493.1483991775,46910.1911420582,47000.3153341983,46408.8320829659,44759.3947196856,44599.804972084,44157.4796400241,45035.9785547932,46930.8307282373,48201.1571717366,48110.7341930587,47937.7090620549,47709.7780156397,46389.2644603172
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,1582.31359952154,1621.32684617706,1648.73402343608,1696.56782496942,1735.92200817636,1775.9641175023,1829.50380574895,1876.59904380337,1937.72919211467,1998.06631990634,2037.23630988193,2097.16874811972,2171.68867544338,2279.53127370224,2399.08222733303,2537.11119756525,2659.04923206241,2762.18047443876,2883.46679391309,3034.95108156758,3195.78104025627,3349.02500775857,3511.64550625961,3700.11082057504,3920.14450723583,4160.70332471531,4440.85590480834
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,12579.4681689116,12632.1897441016,12836.3812807789,13042.6157319939,13505.7981330451,14086.065609887,14548.8183416476,14537.0020282853,15124.4362400335,14713.4035365796,14778.8722467196,15050.4034602071,15210.0718404141,15752.3601314013,16612.7345662264,16903.8729554071,16946.6709613034,16019.7146273444,15596.6168113309,15444.7463207601,15335.848046216,15088.4413511106,15041.5547480584,15382.7656890531,15738.0786618241,15789.0411622149,15674.9043195592
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,7923.65035566891,7305.30690938528,6458.21455927607,5805.36315610077,5988.03970960276,6698.45787856987,7293.90821566164,7575.91832595163,8053.17363808324,8477.08401148315,8961.64111959338,9660.19368845286,10839.9562728165,11940.1865961058,13214.87158024,14417.3535308989,15942.8976797373,16014.1155277101,17300.7036830881,18274.0207167069,18611.4542129387,18805.4308685766,19119.3461515636,18362.7455862583,17883.1264992839,18356.1007741722,18974.6998134505
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,36426.9931547081,35935.9573927225,36981.4489459975,37784.149887365,38208.7186734905,39562.3729801955,40252.4689057051,41583.0973922951,43024.1399101042,43347.8892099274,43890.5981100134,44160.9114292454,45540.4669120107,46342.1866093314,47212.577772728,48590.4005353331,48423.515483961,47064.7900198376,47972.558838523,48154.8711461252,48210.9246578014,48204.5856992867,48748.6205926039,49456.3985817783,49829.9273887741,50442.2705419624,51126.6669535206
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,5852.82885503918,6116.24236826798,6002.79292664573,5887.26275165016,5784.20175311085,5775.28708333293,5765.63127827382,6042.65048589656,6599.32042762238,6698.15843816294,6819.46282154807,7261.11722353896,7413.87921030528,7363.84977988386,7519.41367617116,7363.40275059679,7426.87033684318,7257.73481534864,7294.663222693,7259.64495499939,7264.63935534435,7194.6215734767,7322.88296109423,7358.61842797652,7206.95239980855,7193.63430990345,7261.69420054139
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,2179.50722950521,2227.35320010502,2195.82205208296,2253.11952564857,2277.76181597777,2336.5458721514,2358.28012691892,2411.99156352498,2478.21823775079,2532.63405180985,2570.78730365107,2579.69780730152,2614.21245549017,2581.64225152969,2606.8174487853,2685.13026141894,2738.19438467667,2724.08476657468,2704.7054840378,2707.86970043194,2759.84825577488,2876.90390883027,2975.85478222107,2945.97022066349,2961.4404159762,3044.51715620319,3160.7806702321
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,64385.4074102651,65967.8500138776,65904.7204209603,68313.3818545185,69643.4075205287,72403.8804374561,74677.0924239116,76772.3238467835,83181.5263421175,88231.783860841,86364.153739107,88727.3112693061,90195.8115646944,91114.0769901835,95615.3606970562,98257.9926982026,95855.800692618,89961.9827443671,88399.9159492493,85829.3782604391,80982.367755316,80503.6502910788,77361.1048812589,77842.7539032209,78149.352535184,81834.9558735543,81422.1346003442
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,2979.90744528359,3050.14095270966,3205.2913357816,3414.55075456272,3559.02916248669,3680.66534075738,3810.85978074076,4018.92748886381,4061.4990262661,4308.52560449866,4686.01084721764,4957.52912891143,5165.17346931653,5456.70774972036,5761.7501411583,6743.04653246607,6995.7793047569,7393.91785456585,8190.57622279014,8744.95764294872,9084.00445533749,9163.5635511192,9574.0290039124,10086.0727954667,10775.1903107625,11142.4746724654,11348.4419521
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,4705.58714161653,4804.53997369081,4925.10775998376,5050.31379015833,5164.2500694407,5312.08101087405,5469.46973718794,5386.17921449768,5415.52605555253,5402.75947960627,5434.08384277964,5479.26690665962,5605.20187743362,5749.53164490067,5920.70977180561,6085.38644787343,6351.22620635121,6455.96836545709,6612.80335425232,6844.98377113785,7081.3861286295,7444.49079677339,7730.63840148344,7984.41198607604,8202.54423301658,8423.69755843668,8655.53148479759
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,..,..,1653.42357922294,2053.399078194,3946.67028941419,5344.15906127778,6180.71300668264,6757.74767741655,7604.51369426453,7779.79802732356,8162.50083240065,8471.86874019494,9002.91508136273,9350.94770582003,9856.97274444547,10441.6039165854,11035.0429084212,10755.9753330761,10938.2893336756,11176.8811943454,11257.8394767668,11725.2554566971,12066.5917858159,12630.6672913304,13194.3305696421,13753.8374426837,14386.7374914983
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,8799.82840875298,8740.44151080617,8836.78667495493,9232.00960879421,9539.38362066938,10094.1360766107,9911.13606572894,10636.8463904425,10629.9469244068,10457.1481803036,10896.8827298675,11205.3999824561,11305.5734366817,11600.3295020675,12318.3620321657,13056.6725299102,13581.1689929674,12298.8321580883,13126.2146962517,13724.6713487456,14166.5442663072,15597.6174151222,16042.0524931341,14895.9049840115,15654.6818325969,15948.0320233624,16222.407448116
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,10211.2980216613,10537.2732229259,10973.2538281757,11254.1168262262,11321.3898013889,11524.1109961849,11387.6234853267,11272.7067288664,11600.9483833542,11602.4995299995,11800.8408908174,11786.3336776655,12316.374186014,12565.9413969911,12922.1554868403,13564.9942008518,14114.9747722763,13962.2588798839,14873.2083173363,15323.3313867559,15478.792838839,15805.2229104713,15749.5121636814,15064.1760688552,14451.1528423266,14524.6135408174,14668.2561636292
