Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,Afghanistan,AFG,3093388,3391712,3677087,3916250,4093837,4220821,4321585,4434762,4587799,4790054,5031158,5293385,5563505,5824290,6055021,6263748,6464836,6680730,6927765,7212518,7528589,7865068,8204880,8535606,8852834,9164768,9476982
Urban population,SP.URB.TOTL,Albania,ALB,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969
Urban population,SP.URB.TOTL,Algeria,DZA,14502591,15044499,15579366,16103499,16615714,17115300,17606298,18103945,18600199,19094843,19591211,20095409,20615999,21159466,21729736,22327435,22955887,23612220,24299170,25016299,25763114,26536380,27332603,28146508,28977623,29821728,30670076
Urban population,SP.URB.TOTL,American Samoa,ASM,41312,42684,44016,45333,46643,47921,49139,50278,51217,51764,52221,52532,52640,52470,52016,51305,50476,49702,49126,48787,48666,48668,48699,48684,48603,48481,48336
Urban population,SP.URB.TOTL,Andorra,AND,55540,57383,58846,59812,60131,59932,59603,59647,60417,61994,64193,66745,69198,71209,72739,73842,74639,75096,75011,74306,73056,71511,70057,68903,68211,67873,67815
Urban population,SP.URB.TOTL,Angola,AGO,5067881,5427582,5806614,6159458,6530151,6918999,7328065,7758424,8212003,8688765,9190862,9721266,10284524,10882818,11437892,12025599,12644651,13291077,13963065,14660281,15383123,16130308,16900844,17691524,18502164,19332895,20184724
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,22615,22831,23073,23322,23572,23822,24056,24262,24419,24507,24349,24161,23973,23802,23661,23530,23402,23263,23097,22940,23077,23198,23302,23393,23484,23582,23684
Urban population,SP.URB.TOTL,Argentina,ARG,29352237,29809445,30260588,30705906,31145813,31579653,32009558,32438320,32867365,33297960,33728928,34159484,34588884,35015688,35439468,35861117,36284568,36714243,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099
Urban population,SP.URB.TOTL,Armenia,ARM,2302489,2240034,2178120,2125284,2084082,2052293,2027675,2006226,1984986,1964184,1948905,1935615,1921598,1906159,1888550,1869219,1850406,1835095,1825368,1821998,1823993,1830236,1838076,1845589,1852180,1858250,1863995
Urban population,SP.URB.TOTL,Aruba,ABW,34119,35949,37721,39172,40238,40970,41489,41947,42450,43045,43670,44245,44672,44888,44880,44688,44379,44051,43776,43820,44059,44351,44666,44978,45293,45614,45949
Urban population,SP.URB.TOTL,Australia,AUS,14920611,15044687,15181749,15342767,15521685,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21488110
Urban population,SP.URB.TOTL,Austria,AUT,4893935,4912877,4910076,4895821,4880469,4864091,4847335,4834637,4824004,4820068,4821291,4822095,4829142,4839033,4839801,4832038,4823638,4812679,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5110858,5153759
Urban population,SP.URB.TOTL,Azerbaijan,AZE,3922231,3959053,3989328,4011953,4028686,4043596,4057628,4085971,4135854,4184325,4232008,4280744,4335079,4396406,4461940,4530068,4643726,4759039,4835557,4920166,5008847,5098727,5189181,5279540,5368846,5453517,5534464
Urban population,SP.URB.TOTL,"Bahamas, The",BHS,213602,218256,222720,226836,230535,233902,237162,240614,244418,248295,252562,257180,262054,267084,272307,277676,282996,288018,292563,296570,300071,303261,306388,309636,313041,316565,320173
